REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2021,S1D2,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2021,S1D1,11.251256399999997
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2021,S2D2,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2021,S2D1,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2022,S1D2,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2022,S1D1,11.251256399999997
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2022,S2D2,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2022,S2D1,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2023,S1D2,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2023,S1D1,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2023,S2D2,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2023,S2D1,11.251256399999997
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2024,S1D2,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2024,S1D1,11.251256400000003
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2024,S2D2,11.251256399999997
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2024,S2D1,11.2512564
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2025,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2025,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2026,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2026,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2027,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2027,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2028,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2028,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2029,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2029,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2030,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2030,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2031,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2031,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2032,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2032,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2033,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2033,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2034,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2034,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2035,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2035,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2036,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2036,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2037,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2037,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2038,S1D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2038,S2D2,22.5025128
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2039,S1D2,15.635548800000002
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2039,S2D2,15.635548800000002
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2040,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2040,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2041,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2041,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2042,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2042,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2043,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2043,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2044,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2044,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2045,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2045,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2046,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2046,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2047,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2047,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2048,S1D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2048,S2D2,11.409724800000001
GLOBAL,PWRBIOINDNO01,BIOINDNO,1,2049,S1D2,11.409724800000001
