REGION,NODE,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KENXX,2021,99.5,99.5,0.5
GLOBAL,KENXX,2022,99.4,99.4,0.6
GLOBAL,KENXX,2023,99.6,99.6,0.4
GLOBAL,KENXX,2024,100.0,100.0,0.0
GLOBAL,KENXX,2025,100.0,100.0,0.0
GLOBAL,KENXX,2026,99.3,99.3,0.7
GLOBAL,KENXX,2027,99.2,99.2,0.8
GLOBAL,KENXX,2028,99.2,99.2,0.8
GLOBAL,KENXX,2029,99.2,99.2,0.8
GLOBAL,KENXX,2030,99.2,99.2,0.8
GLOBAL,KENXX,2031,99.2,99.2,0.8
GLOBAL,KENXX,2032,99.2,99.2,0.8
GLOBAL,KENXX,2033,99.2,99.2,0.8
GLOBAL,KENXX,2034,99.2,99.2,0.8
GLOBAL,KENXX,2035,99.2,99.2,0.8
GLOBAL,KENXX,2036,99.2,99.2,0.8
GLOBAL,KENXX,2037,99.2,99.2,0.8
GLOBAL,KENXX,2038,99.2,99.2,0.8
GLOBAL,KENXX,2039,99.2,99.2,0.8
GLOBAL,KENXX,2040,99.2,99.2,0.8
GLOBAL,KENXX,2041,99.2,99.2,0.8
GLOBAL,KENXX,2042,99.2,99.2,0.8
GLOBAL,KENXX,2043,99.2,99.2,0.8
GLOBAL,KENXX,2044,99.2,99.2,0.8
GLOBAL,KENXX,2045,99.2,99.2,0.8
GLOBAL,KENXX,2046,99.2,99.2,0.8
GLOBAL,KENXX,2047,99.2,99.2,0.8
GLOBAL,KENXX,2048,99.2,99.2,0.8
GLOBAL,KENXX,2049,99.2,99.2,0.8
GLOBAL,KENXX,2050,99.2,99.2,0.8
GLOBAL,TZAXX,2021,97.0,97.0,3.0
GLOBAL,TZAXX,2022,96.9,96.9,3.1
GLOBAL,TZAXX,2023,96.2,96.2,3.8
GLOBAL,TZAXX,2024,96.7,96.7,3.3
GLOBAL,TZAXX,2025,96.8,96.8,3.2
GLOBAL,TZAXX,2026,97.3,97.3,2.7
GLOBAL,TZAXX,2027,97.3,97.3,2.7
GLOBAL,TZAXX,2028,97.3,97.3,2.7
GLOBAL,TZAXX,2029,97.3,97.3,2.7
GLOBAL,TZAXX,2030,97.4,97.4,2.6
GLOBAL,TZAXX,2031,97.4,97.4,2.6
GLOBAL,TZAXX,2032,97.4,97.4,2.6
GLOBAL,TZAXX,2033,97.4,97.4,2.6
GLOBAL,TZAXX,2034,97.4,97.4,2.6
GLOBAL,TZAXX,2035,97.4,97.4,2.6
GLOBAL,TZAXX,2036,97.4,97.4,2.6
GLOBAL,TZAXX,2037,97.4,97.4,2.6
GLOBAL,TZAXX,2038,97.4,97.4,2.6
GLOBAL,TZAXX,2039,97.4,97.4,2.6
GLOBAL,TZAXX,2040,97.5,97.5,2.5
GLOBAL,TZAXX,2041,97.5,97.5,2.5
GLOBAL,TZAXX,2042,97.5,97.5,2.5
GLOBAL,TZAXX,2043,97.5,97.5,2.5
GLOBAL,TZAXX,2044,97.5,97.5,2.5
GLOBAL,TZAXX,2045,97.5,97.5,2.5
GLOBAL,TZAXX,2046,97.5,97.5,2.5
GLOBAL,TZAXX,2047,97.5,97.5,2.5
GLOBAL,TZAXX,2048,97.5,97.5,2.5
GLOBAL,TZAXX,2049,97.5,97.5,2.5
GLOBAL,TZAXX,2050,97.5,97.5,2.5
