REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINGASINT,GASINT,2021,6.911587485420938
GLOBAL,MINGASINT,GASINT,2022,7.729719015056329
GLOBAL,MINGASINT,GASINT,2023,8.935149172156418
GLOBAL,MINGASINT,GASINT,2024,4.792792758494782
GLOBAL,MINGASINT,GASINT,2025,5.539770995963529
GLOBAL,MINGASINT,GASINT,2026,6.299167165447378
GLOBAL,MINGASINT,GASINT,2027,7.056479566593239
GLOBAL,MINGASINT,GASINT,2028,7.815875736077085
GLOBAL,MINGASINT,GASINT,2029,8.57399735381978
GLOBAL,MINGASINT,GASINT,2030,9.728900888085512
GLOBAL,MINGASINT,GASINT,2031,11.155822043205932
GLOBAL,MINGASINT,GASINT,2032,15.751948472561985
GLOBAL,MINGASINT,GASINT,2033,18.655941815142448
GLOBAL,MINGASINT,GASINT,2034,25.68241095934239
GLOBAL,MINGASINT,GASINT,2035,27.816841501473633
GLOBAL,MINGASINT,GASINT,2036,30.33661444672139
GLOBAL,MINGASINT,GASINT,2037,33.57183397967937
GLOBAL,MINGASINT,GASINT,2038,36.80746836090823
GLOBAL,MINGASINT,GASINT,2039,40.23068878597337
GLOBAL,MINGASINT,GASINT,2040,44.33975762215239
GLOBAL,MINGASINT,GASINT,2041,47.83005777127035
GLOBAL,MINGASINT,GASINT,2042,51.32236460163849
GLOBAL,MINGASINT,GASINT,2043,55.01952565612552
GLOBAL,MINGASINT,GASINT,2044,60.39018345234662
GLOBAL,MINGASINT,GASINT,2045,68.79964099459903
GLOBAL,MINGASINT,GASINT,2046,81.90195504219587
GLOBAL,MINGASINT,GASINT,2047,89.80416696653427
GLOBAL,MINGASINT,GASINT,2048,99.26266061981705
GLOBAL,MINGASINT,GASINT,2049,107.18686639271144
GLOBAL,MINGASINT,GASINT,2050,115.11698182273108
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2021,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2022,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2023,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2024,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2025,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2026,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2027,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2028,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2029,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2030,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2031,1.418978088
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2021,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2022,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2023,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2024,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2025,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2026,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2027,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2028,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2029,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2030,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2031,1.103649624
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2032,0.7186312922755203
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2033,1.2580549050952565
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2034,3.5183676556632433
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2035,3.734074801726997
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2036,3.636506114176292
